,struct,instance,m,n,repeat,population,generation,literature,cmax,time,gap,var_cmax,std_cmax,mean_cmax,var_time,std_time,mean_time,use_const_init_sol,mutation_size
0,Y,2_10_01,2,10,0,7,10,354,354,"0,0279717445373535",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
1,Y,2_10_01,2,10,1,7,10,354,354,"0,024275541305542",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
2,Y,2_10_01,2,10,2,7,10,354,354,"0,0232481956481934",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
3,Y,2_10_01,2,10,3,7,10,354,354,"0,0250389575958252",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
4,Y,2_10_01,2,10,4,7,10,354,354,"0,0273337364196777",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
5,Y,2_10_01,2,10,5,7,10,354,354,"0,0251433849334717",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
6,Y,2_10_01,2,10,6,7,10,354,354,"0,0280988216400146",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
7,Y,2_10_01,2,10,7,7,10,354,354,"0,0241196155548096",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
8,Y,2_10_01,2,10,8,7,10,354,354,"0,0245125293731689",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
9,Y,2_10_01,2,10,9,7,10,354,354,"0,024179220199585",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
10,Y,2_10_01,2,10,10,7,10,354,354,"0,0266189575195312",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
11,Y,2_10_01,2,10,11,7,10,354,354,"0,0264904499053955",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
12,Y,2_10_01,2,10,12,7,10,354,354,"0,0236384868621826",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
13,Y,2_10_01,2,10,13,7,10,354,354,"0,0247509479522705",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
14,Y,2_10_01,2,10,14,7,10,354,354,"0,0248138904571533",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
15,Y,2_10_01,2,10,15,7,10,354,354,"0,0265889167785645",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
16,Y,2_10_01,2,10,16,7,10,354,354,"0,0263447761535645",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
17,Y,2_10_01,2,10,17,7,10,354,354,"0,0241608619689941",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
18,Y,2_10_01,2,10,18,7,10,354,354,"0,0232148170471191",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
19,Y,2_10_01,2,10,19,7,10,354,354,"0,023622989654541",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
20,Y,2_10_01,2,10,20,7,10,354,354,"0,0253510475158691",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
21,Y,2_10_01,2,10,21,7,10,354,354,"0,0259356498718262",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
22,Y,2_10_01,2,10,22,7,10,354,354,"0,0262787342071533",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
23,Y,2_10_01,2,10,23,7,10,354,354,"0,024791955947876",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
24,Y,2_10_01,2,10,24,7,10,354,354,"0,0248270034790039",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
25,Y,2_10_01,2,10,25,7,10,354,354,"0,0244979858398437",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
26,Y,2_10_01,2,10,26,7,10,354,354,"0,0224449634552002",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
27,Y,2_10_01,2,10,27,7,10,354,354,"0,0254347324371338",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
28,Y,2_10_01,2,10,28,7,10,354,354,"0,0269291400909424",0,0,0,354,"1,6595947167616E-06","0,0012882525826722","0,025031418800354",Muller,1
